# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);32.041
# Site longitude (positive means East);54.666
# Site altitude (m);1595
# Date beginning;2021-01-01
# Date end;2021-12-31
# Time reference (hour);UT
# Summarization (period of integration);Hour (h)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2021-01-01;01:00;271.88;41.43;864.71;2.07;278.93;0.000000;0.000000;0.000000;0.0000
2021-01-01;02:00;271.86;41.49;864.98;2.09;287.83;0.000000;0.000000;0.000000;0.0000
2021-01-01;03:00;271.93;41.26;865.43;2.00;296.75;0.000000;0.000000;0.000000;0.0000
2021-01-01;04:00;272.12;41.37;865.94;1.84;303.53;0.000000;0.000000;0.000000;27.7493
2021-01-01;05:00;274.52;40.82;866.40;1.68;306.28;0.000000;0.000000;0.000000;204.6474
2021-01-01;06:00;277.56;26.50;866.74;1.68;338.61;0.000000;0.000000;0.000000;396.1828
2021-01-01;07:00;280.13;19.78;866.65;1.95;0.94;0.000000;0.000000;0.000000;546.3277
2021-01-01;08:00;281.83;16.20;866.15;2.17;2.98;0.000000;0.000000;0.000000;637.5080
2021-01-01;09:00;283.04;14.11;865.41;2.42;3.10;0.000000;0.000000;0.000000;661.9896
2021-01-01;10:00;283.63;13.15;864.69;2.62;4.95;0.000000;0.000000;0.000000;617.8484
2021-01-01;11:00;283.63;12.86;864.24;2.75;8.90;0.000000;0.000000;0.000000;508.9271
2021-01-01;12:00;283.02;13.28;864.13;2.79;14.05;0.000000;0.000000;0.000000;345.3399
2021-01-01;13:00;280.71;25.47;864.23;2.23;22.37;0.000000;0.000000;0.000000;147.4554
2021-01-01;14:00;276.40;33.68;864.45;2.55;33.11;0.000000;0.000000;0.000000;6.6789
2021-01-01;15:00;275.09;33.44;864.78;2.49;40.98;0.000000;0.000000;0.000000;0.0000
2021-01-01;16:00;274.47;33.15;864.99;2.21;44.76;0.000000;0.000000;0.000000;0.0000
2021-01-01;17:00;274.00;32.79;865.12;1.87;43.16;0.000000;0.000000;0.000000;0.0000
2021-01-01;18:00;273.58;32.25;865.16;1.48;36.93;0.000000;0.000000;0.000000;0.0000
2021-01-01;19:00;273.31;32.00;865.11;1.05;24.05;0.000000;0.000000;0.000000;0.0000
2021-01-01;20:00;273.09;31.69;864.93;0.71;350.75;0.000000;0.000000;0.000000;0.0000
2021-01-01;21:00;272.59;32.71;864.71;0.89;305.68;0.000000;0.000000;0.000000;0.0000
2021-01-01;22:00;272.09;33.94;864.74;1.33;290.59;0.000000;0.000000;0.000000;0.0000
